Date,Affected pages
2025-10-06,14
2025-10-07,17
2025-10-08,17
2025-10-09,17
2025-10-10,17
2025-10-11,17
2025-10-12,17
2025-10-13,17
2025-10-14,20
2025-10-15,20
2025-10-16,20
2025-10-17,20
2025-10-18,30
2025-10-19,30
2025-10-20,30
2025-10-21,33
2025-10-22,33
2025-10-23,33
2025-10-24,33
2025-10-25,33
2025-10-26,33
2025-10-27,33
2025-10-28,35
2025-10-29,35
2025-10-30,35
2025-10-31,35
2025-11-01,35
2025-11-02,35
2025-11-03,35
2025-11-04,35
2025-11-05,35
2025-11-06,35
2025-11-07,35
2025-11-08,38
2025-11-09,38
2025-11-10,38
2025-11-11,38
2025-11-12,38
2025-11-13,38
2025-11-14,38
2025-11-15,38
2025-11-16,38
2025-11-17,38
2025-11-18,38
2025-11-19,38
2025-11-20,38
2025-11-21,38
2025-11-22,44
2025-11-23,44
2025-11-24,44
2025-11-25,44
2025-11-26,44
2025-11-27,44
2025-11-28,44
2025-11-29,44
2025-11-30,44
2025-12-01,44
2025-12-02,44
2025-12-03,44
2025-12-04,44
2025-12-05,44
2025-12-06,44
2025-12-07,44
2025-12-08,44
2025-12-09,44
2025-12-10,44
2025-12-11,44
2025-12-12,44
2025-12-13,44
2025-12-14,44
2025-12-15,44
2025-12-16,44
2025-12-17,44
2025-12-18,44
2025-12-19,44
2025-12-20,44
2025-12-21,44
2025-12-22,44
2025-12-23,45
2025-12-24,45
2025-12-25,45
2025-12-26,45
2025-12-27,45
2025-12-28,45
2025-12-29,45
2025-12-30,45
2025-12-31,45
2026-01-01,45
2026-01-02,45
